key,file,sec,lufs,peak_dbfs,sha1,asset_id,uploaded
hint_01,hint_01.wav,1.00,-22.1,-11.3,6366d56d8689,,
hint_02,hint_02.wav,1.39,-22.1,-7.6,27b01d47e994,,
hint_03,hint_03.wav,1.50,-22.1,-7.2,32e364f958e2,,
mus_theme_1,mus_island1_shore.wav,74.91,-23.0,-10.5,6c03afd7f1b0,,
mus_theme_2,mus_island2_hills.wav,72.01,-23.0,-11.0,f8f968b063dd,,
mus_theme_3,mus_island3_valley.wav,71.68,-23.0,-12.1,48a909302e12,,
praise_01,praise_01.wav,0.99,-22.1,-9.9,d9502f57e953,,
praise_02,praise_02.wav,0.79,-22.1,-7.1,f6561b6b099b,,
praise_03,praise_03.wav,0.77,-22.1,-9.9,ec3c715c48e5,,
praise_04,praise_04.wav,0.99,-22.1,-8.1,dede49c029fa,,
praise_05,praise_05.wav,0.72,-22.1,-8.0,1a472bbe66b9,,
praise_06,praise_06.wav,0.83,-22.1,-9.3,a73cbf511d87,,
praise_07,praise_07.wav,1.00,-22.1,-9.3,fb777a8d2670,,
praise_08,praise_08.wav,0.82,-22.1,-8.5,3c3f0845b834,,
retry_01,retry_01.wav,0.71,-22.1,-8.2,6c1857719ab3,,
retry_02,retry_02.wav,1.36,-22.1,-9.7,ab5c23cdae18,,
retry_03,retry_03.wav,1.18,-22.1,-8.1,3452519c32cf,,
retry_04,retry_04.wav,1.49,-22.1,-8.2,cdbfca992ab9,,
retry_05,retry_05.wav,2.20,-22.1,-8.5,f4f895dfffac,,
story_intro,story_intro.wav,5.51,-22.1,-7.2,adf069cd5cb0,,
ui_goodbye,ui_goodbye.wav,2.65,-22.1,-6.1,9be147e81193,,
